date,product_id,price,discount,campaign_active,orders,page_views,add_to_cart
2023-01-01,P001,100.7008892569129,30.0,0,31.73595119958865,103.0,29
2023-01-01,P018,459.8748745437299,0.0,1,22.692248326206432,61.0,26
2023-01-01,P016,309.49420638727383,0.0,0,22.16823894987347,85.0,18
2023-01-01,P002,520.0866039231819,25.0,0,22.514651214150796,95.0,15
2023-01-01,P009,505.4493267725887,0.0,1,16.268620330414066,61.0,11
2023-01-01,P006,114.36962699819277,0.0,0,28.843181024812516,115.0,24
2023-01-01,P012,714.9371669429124,15.0,1,20.699275332482166,56.0,18
2023-01-01,P004,264.0124790092561,20.0,0,21.83947099854226,59.0,16
2023-01-02,P003,352.84105871864267,10.0,0,21.683350974918156,90.0,24
2023-01-02,P001,756.1064512368886,20.0,0,17.27384083000785,61.0,13
2023-01-02,P006,422.61915568984534,0.0,1,16.79587251869427,43.0,10
2023-01-02,P013,157.20251525742128,0.0,0,24.35201398871483,81.0,10
2023-01-02,P011,756.6455605042577,15.0,1,15.46638705689186,57.0,18
2023-01-02,P016,741.9203085006955,20.0,0,15.291250631015807,39.0,16
2023-01-02,P015,793.8704619591049,10.0,0,12.723234876591327,46.0,11
2023-01-02,P005,197.102284293974,0.0,0,20.18598134230462,42.0,21
2023-01-03,P008,884.3145311689459,20.0,0,14.366192714815234,40.0,15
2023-01-03,P010,826.6961396476563,25.0,0,16.83586220412502,62.0,19
2023-01-03,P001,199.04673207490907,0.0,0,21.24977498130569,50.0,15
2023-01-03,P009,106.25691747807163,10.0,0,24.446960286192315,62.0,21
2023-01-03,P018,299.8970294236572,0.0,0,18.541675447404405,78.0,9
2023-01-03,P014,566.9115595690295,,0,18.58793184095656,69.0,22
2023-01-03,P002,974.6038744488646,30.0,0,10.85368900182639,35.0,13
2023-01-03,P012,356.35644493972086,0.0,0,18.176004644630567,46.0,19
2023-01-04,P008,431.0048194473279,15.0,0,16.99569330583609,48.0,13
2023-01-04,P015,851.7722460303141,0.0,0,12.138410907452228,42.0,10
2023-01-04,P013,136.6976273992875,10.0,0,23.114990104686527,55.0,17
2023-01-04,P017,303.84619767814416,15.0,0,20.32755744365776,65.0,13
2023-01-04,P011,721.8439642922193,5.0,1,16.454092250648138,50.0,14
2023-01-04,P016,202.12616911653015,25.0,1,26.96215379114093,86.0,12
2023-01-04,P009,332.14746494364005,15.0,1,31.738505450175694,72.0,38
2023-01-04,P004,317.6670618104065,0.0,1,32.38916728489853,73.0,24
2023-01-05,P007,435.0544899055688,25.0,1,22.44367797140993,99.0,26
2023-01-05,P012,537.0523782276039,5.0,1,17.295029288012408,77.0,17
2023-01-05,P020,258.3327274096108,0.0,0,18.19881761743472,56.0,12
2023-01-05,P002,769.7534707509061,15.0,0,12.043714175731333,48.0,7
2023-01-05,P018,588.2862074994093,10.0,0,17.85741151496942,65.0,21
2023-01-05,,981.0035724475082,10.0,1,12.675429949345341,29.0,13
2023-01-05,P015,490.95492895938577,5.0,0,19.386953391760546,53.0,12
2023-01-05,P014,307.16674141739975,10.0,0,21.824699448523933,61.0,10
2023-01-06,P002,446.58795574173274,25.0,0,21.551295107904544,75.0,21
2023-01-06,P007,942.5392967447028,15.0,0,11.074955675091408,38.0,7
2023-01-06,P010,187.45884439369166,15.0,1,29.339104953776776,126.0,17
2023-01-06,P013,889.6357647351599,15.0,0,11.284911681532035,45.0,11
2023-01-06,P004,732.2356755883983,5.0,0,14.901151309184291,62.0,14
2023-01-06,P019,880.3650867220933,25.0,0,15.83289802176142,67.0,12
2023-01-06,P011,551.3646652184797,20.0,0,21.107570356523546,84.0,24
2023-01-06,P015,901.0048076358097,0.0,0,13.172504252350436,37.0,12
2023-01-07,P009,857.8207675107832,0.0,0,12.215395612778808,31.0,14
2023-01-07,P020,219.47088001867283,30.0,1,38.96857343336039,134.0,22
2023-01-07,P003,136.9607650910882,5.0,0,22.17254456981275,83.0,14
2023-01-07,P018,265.90030689823305,0.0,0,25.191860611531087,75.0,12
2023-01-07,P014,719.6499106888298,0.0,1,14.79250427181281,61.0,10
2023-01-07,P007,184.48596107316257,0.0,1,28.006808050734502,123.0,33
2023-01-07,P004,674.4435344590154,10.0,0,21.918364270465,75.0,26
2023-01-07,P013,142.9445149224839,10.0,0,24.60535980011273,77.0,25
2023-01-08,P006,954.2311584322473,25.0,0,24.986519787018533,103.0,20
2023-01-08,P008,,15.0,1,22.236591807167375,46.0,23
2023-01-08,P002,949.8264374126506,25.0,0,18.446326578653984,43.0,16
2023-01-08,P003,616.03033750474,0.0,1,24.547199784222556,101.0,10
2023-01-08,P009,838.5755281695598,15.0,1,16.216250874397804,62.0,13
2023-01-08,P001,346.5650145890204,0.0,0,23.010712002560087,70.0,20
2023-01-08,P013,135.06681907921026,15.0,0,22.87414457289668,97.0,14
2023-01-08,P007,713.4523020755107,0.0,0,19.163354140825604,55.0,11
2023-01-09,P010,214.92075648021904,0.0,0,20.67950588592857,74.0,13
2023-01-09,P014,314.73717381130615,15.0,1,30.963373803105295,111.0,28
2023-01-09,P020,314.41253716358153,5.0,0,12.411834775740502,31.0,6
2023-01-09,P006,367.8716570583798,0.0,0,17.88731691334707,49.0,17
2023-01-09,P003,962.6873471948785,20.0,0,14.37997861135555,62.0,11
2023-01-09,P001,534.2688546783781,10.0,0,18.000020577469726,44.0,12
2023-01-09,P016,182.533732532633,15.0,0,22.143116056623953,54.0,23
2023-01-09,P002,937.8361951185633,30.0,1,19.76241630268474,63.0,16
2023-01-10,P019,735.6180044408466,0.0,0,15.475954738623487,35.0,11
2023-01-10,P004,952.5237196454729,30.0,1,17.685881704881023,75.0,19
2023-01-10,P008,438.6336269778242,0.0,1,14.888374595267424,34.0,10
2023-01-10,P017,915.7189465852624,0.0,0,14.82605810497681,53.0,16
2023-01-10,P016,110.21828029067716,10.0,0,27.942852472881054,80.0,22
2023-01-10,P020,625.0318885874436,30.0,0,20.77985575446851,,12
2023-01-10,P013,357.14087765367464,25.0,0,22.575122828090112,78.0,20
2023-01-10,P007,993.6683165073703,0.0,0,13.770307751445237,41.0,9
2023-01-11,P008,196.08045934229594,0.0,0,16.688292178542998,74.0,9
2023-01-11,P017,306.45527113445473,0.0,0,23.422473782494347,51.0,11
2023-01-11,P013,333.9548765688364,10.0,0,18.259596820054657,63.0,11
2023-01-11,P011,642.5036938209687,0.0,0,10.967973072583272,49.0,11
2023-01-11,P002,168.58034163924685,25.0,0,28.396888318402166,106.0,30
2023-01-11,P004,174.4735780317755,25.0,0,25.899185901359687,100.0,28
2023-01-11,P010,248.35083502330085,5.0,1,27.032313393963303,56.0,17
2023-01-11,P019,439.06507294414666,15.0,0,19.420263048755515,40.0,18
2023-01-12,P020,753.5087596646632,20.0,0,13.589057267185103,28.0,8
2023-01-12,P004,326.29819556061864,0.0,0,16.83315071305965,75.0,15
2023-01-12,P008,890.3986007312731,20.0,0,6.772368590235954,30.0,8
2023-01-12,P010,848.2343410562511,0.0,1,14.396408110613596,41.0,6
2023-01-12,P015,971.1763888958408,0.0,1,13.732668124214184,37.0,16
2023-01-12,P011,478.4822007985676,20.0,0,27.081822919841688,64.0,29
2023-01-12,P016,824.5402007674257,25.0,0,14.826797243155314,42.0,15
2023-01-12,P012,672.9798894600543,10.0,0,15.840581204378578,46.0,15
2023-01-13,P016,658.7251159798822,0.0,0,10.337249701961023,40.0,11
2023-01-13,P019,583.537075042663,10.0,0,18.86515564173309,79.0,23
2023-01-13,P013,460.2704400192532,15.0,0,16.979347611544295,66.0,17
2023-01-13,P009,886.8858443689754,10.0,1,20.454867360907368,74.0,14
2023-01-13,P017,641.7418559868642,0.0,1,14.587087921797412,57.0,13
2023-01-13,P008,128.6242133366486,10.0,0,18.670952720780765,72.0,13
2023-01-13,P011,420.3923358447875,25.0,0,17.41394708231374,56.0,20
2023-01-13,P020,183.06152760587148,10.0,0,18.50915924145581,53.0,21
2023-01-14,P014,219.80523572873042,15.0,1,30.984863608403717,84.0,26
2023-01-14,P012,457.4474492536742,0.0,1,27.581340210186415,102.0,28
2023-01-14,P013,264.05549062836224,10.0,1,30.86615088543027,136.0,35
2023-01-14,P020,309.8947703948211,0.0,0,18.850352702358908,65.0,11
2023-01-14,P009,419.5938729513743,15.0,0,28.04411573403615,120.0,24
2023-01-14,P005,601.9680393553937,10.0,0,20.333979883796005,41.0,16
2023-01-14,P002,440.89536335616043,0.0,1,19.387359699003948,77.0,20
2023-01-14,P010,548.4229280640461,0.0,1,24.56509960447346,102.0,17
2023-01-15,P001,458.07003914116746,30.0,1,28.17111297683544,101.0,27
2023-01-15,P002,253.79882865105924,15.0,1,35.6311722030586,154.0,26
2023-01-15,P013,601.0866037125368,10.0,0,16.91729680947151,59.0,8
2023-01-15,P019,391.31131276381933,5.0,0,23.19920427615479,60.0,11
2023-01-15,P017,318.1687591735722,0.0,0,23.637713548016155,60.0,12
2023-01-15,P005,238.92644374678207,10.0,0,18.647106147012806,63.0,8
2023-01-15,P010,146.6411831401842,0.0,0,27.85457145237954,119.0,23
2023-01-15,P015,329.17658928738746,15.0,1,27.73737902465701,60.0,26
2023-01-16,P018,767.0085843610532,10.0,1,18.284831449590218,64.0,9
2023-01-16,P007,281.46458804297004,0.0,0,18.058020854159317,71.0,16
2023-01-16,P010,833.117248208244,15.0,0,15.399707769110945,35.0,14
2023-01-16,P009,453.20059668037186,20.0,0,19.031101726079193,44.0,10
2023-01-16,P004,439.24998648241683,10.0,0,18.737859050005298,55.0,14
2023-01-16,P020,308.9914256321356,25.0,0,28.944071589009894,78.0,29
2023-01-16,P016,589.1975750025897,25.0,0,14.43695409165586,36.0,6
2023-01-16,P017,225.34486539704852,20.0,0,27.64253254949195,69.0,14
2023-01-17,P016,192.6244276697305,10.0,0,29.81087359165279,69.0,36
2023-01-17,P010,,10.0,0,14.65941285521716,52.0,14
2023-01-17,P008,468.0596593769439,20.0,0,23.722446645244716,88.0,18
2023-01-17,P003,744.5611672596569,10.0,1,23.152872882676654,87.0,21
2023-01-17,P014,963.167315107625,0.0,0,8.976973292396778,30.0,10
2023-01-17,P012,653.455236837389,25.0,0,15.91343498069029,70.0,17
2023-01-17,P002,190.71514271429783,0.0,1,22.21315231106477,93.0,15
2023-01-17,P017,926.8754700346718,20.0,0,14.594592085030913,64.0,12
2023-01-18,P012,566.9542514134649,10.0,0,16.431367661538008,49.0,15
2023-01-18,P016,822.5681037382103,0.0,0,11.261963096628703,47.0,5
2023-01-18,P003,458.351824231849,10.0,1,18.558325152342707,73.0,21
2023-01-18,P015,763.7511232987736,10.0,0,11.256283568940212,32.0,8
2023-01-18,P013,507.19556451942407,0.0,0,9.668831441549212,22.0,7
2023-01-18,P004,923.3613109612901,5.0,0,12.437871356079995,46.0,14
2023-01-18,P019,669.0378591275773,0.0,0,13.511622656962977,32.0,7
2023-01-18,P002,176.81470127077947,30.0,0,21.864645577922943,60.0,9
2023-01-19,P005,788.8206529596166,0.0,0,12.68785015487947,41.0,12
2023-01-19,P010,345.0716692482695,25.0,0,21.91697355812718,81.0,16
2023-01-19,P007,820.674794337509,30.0,1,18.404168782203623,79.0,19
2023-01-19,P015,596.5503357334057,0.0,0,17.357707222198048,60.0,8
2023-01-19,P011,554.9570911954304,10.0,0,19.460407603358934,72.0,14
2023-01-19,P004,601.0494263050296,15.0,1,21.811723379124537,61.0,13
